ad_id,date_published,typology,asking_price_sek,land_area_sqm,living_area_sqm,sqm_price_sek,number_rooms,address,location,coordenates
21461581,2024-12-27,APARTMENT,2450000.0,0.0,48.0,51042.0,2.0,Skillnadsgatan 58C,"Örgryte, Göteborgs kommun","57.7029648,12.0147514"
21461537,2024-12-27,APARTMENT,690000.0,0.0,73.0,9452.0,3.0,Dobervägen 13A,"Karlskoga, Karlskoga kommun","59.33312,14.53375"
21461127,2024-12-27,APARTMENT,2849000.0,0.0,78.5,36293.0,3.0,Marklandsgatan 49,"Högsbo, Göteborgs kommun","57.67028,11.9368277"
21461499,2024-12-27,HOUSE,4490000.0,1007.8,178.0,4455.25,6.0,Iglatjärnsvägen 60B,"Olofstorp, Göteborgs kommun","57.7931490449,12.1781972424"
21461569,2024-12-27,HOUSE,4950000.0,1153.0,289.0,4293.15,4.0,Klostergatan 7,"Tommarp, Simrishamns kommun","55.5327263,14.2347021"
21461244,2024-12-27,APARTMENT,1795000.0,0.0,79.5,22579.0,3.0,Ängegatan 2,"Odenslund, Östersunds kommun","63.1711845,14.6466179"
21461230,2024-12-27,APARTMENT,2900000.0,0.0,89.0,32584.0,3.0,Tors Gränd 115,"Varberg, Varbergs kommun","57.11211,12.27151"
21461586,2024-12-27,APARTMENT,4195000.0,0.0,86.0,48779.0,3.0,Bankgatan 15B,"Lund - Centrum, Lunds kommun","55.6989059,13.1961288"
21461558,2024-12-27,APARTMENT,1495000.0,0.0,71.0,21056.0,2.0,Nyckelgatan 98,"Sunnanå, Skellefteå kommun","64.7378,20.9345284"
21461552,2024-12-27,APARTMENT,7395000.0,0.0,68.0,108750.0,2.0,Frejgatan 15,"Vasastan, Stockholms kommun","59.3482,18.0607357"
21461615,2024-12-27,APARTMENT,2150000.0,0.0,29.0,74138.0,1.0,Carlsgatan 7F,"Malmö City, Malmö kommun","55.61047,13.0015593"
21455241,2024-12-27,HOUSE,5895000.0,1002.0,126.0,5883.23,4.0,Baldersvägen 10,"Gunnarskär, Hammarö kommun","59.3216476,13.500845"
21442626,2024-12-27,ROW_HOUSE,4250000.0,0.0,117.5,36170.0,5.0,Mor Annies väg 7B,"Björkris, Kungsbacka kommun","57.5173378,12.0799675"
21461438,2024-12-27,APARTMENT,995000.0,0.0,61.8,16100.0,2.0,Kvadrantgatan 48,"Bergsjön, Göteborgs kommun","57.7573155753,12.0595335944"
21461248,2024-12-27,HOUSE,9995000.0,1017.0,214.0,9827.93,5.0,Skvadronvägen 29,"Tingvalla, Vallentuna kommun","59.5157915973,18.0590394214"
21457786,2024-12-27,ROW_HOUSE,2250000.0,150.0,156.0,15000.0,4.0,Skyttestigen 15D,"Sätra, Gävle kommun","60.6960835,17.113"
21461503,2024-12-27,HOUSE,7995000.0,275.0,150.0,29072.73,5.0,Flygtornsvägen 18,"Torslanda - Amhult, Göteborgs kommun","57.71183,11.7791119"
21456069,2024-12-27,APARTMENT,1650000.0,0.0,61.0,27049.0,3.0,Leopoldsgatan 18,"Nyby, Uppsala kommun","59.89002,17.65053"
21461266,2024-12-27,APARTMENT,4195000.0,0.0,45.0,93222.0,2.0,"Kungsholms Strand 141, 1,5 tr","Kungsholmen, Stockholms kommun","59.3373451,18.03072"
21461125,2024-12-27,APARTMENT,1850000.0,0.0,53.5,34579.0,2.0,Tegnérgatan 4,"Söder, Växjö kommun","56.87525,14.8005152"
